pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
145,1,PHAN_STRICT_POSTHOC,19,PAYLOAD,15,0,J,3,0,f7f31345a1f8cd81,e21a13b453180fa1
146,0,REAL,29,PAYLOAD,25,0,J,5,0,f7f31345a1f8cd81,e21a13b453180fa1
147,0,REAL,2,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,e21a13b453180fa1
148,1,PHAN_STRICT_POSTHOC,3,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,e21a13b453180fa1
149,0,NULO,15,PAYLOAD,11,1,A,2,0,ac38ecf3e7ea6c8f,717aace61ce4b072
150,1,PHAN_STRICT_POSTHOC,12,PAYLOAD,8,3,U,1,0,f7f31345a1f8cd81,e21a13b453180fa1
151,1,PHAN_STRICT_POSTHOC,41,PAYLOAD,37,2,N,7,0,f7f31345a1f8cd81,e21a13b453180fa1
152,1,NULO,6,PAYLOAD,2,2,N,0,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
153,0,PHAN_STRICT_POSTHOC,0,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,e21a13b453180fa1
154,1,REAL,41,PAYLOAD,37,2,N,7,0,f7f31345a1f8cd81,e21a13b453180fa1
155,1,REAL,5,PAYLOAD,1,1,A,0,1,1145d10ea689307a,d2c861a98ef8a254
156,0,PHAN_STRICT_POSTHOC,10,PAYLOAD,6,1,A,1,0,f7f31345a1f8cd81,e21a13b453180fa1
157,0,REAL,40,PAYLOAD,36,1,A,7,1,1145d10ea689307a,d2c861a98ef8a254
158,0,REAL,39,PAYLOAD,35,0,J,7,0,f7f31345a1f8cd81,e21a13b453180fa1
159,0,REAL,28,PAYLOAD,24,4,S,4,0,f7f31345a1f8cd81,e21a13b453180fa1
160,1,PHAN_STRICT_POSTHOC,47,PAYLOAD,43,3,U,8,1,f7f31345a1f8cd81,e21a13b453180fa1
161,0,REAL,23,PAYLOAD,19,4,S,3,1,1145d10ea689307a,d2c861a98ef8a254
162,0,PHAN_STRICT_POSTHOC,28,PAYLOAD,24,4,S,4,0,f7f31345a1f8cd81,e21a13b453180fa1
163,0,PHAN_STRICT_POSTHOC,32,PAYLOAD,28,3,U,5,1,f7f31345a1f8cd81,e21a13b453180fa1
164,1,NULO,0,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
165,1,NULO,37,PAYLOAD,33,3,U,6,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
166,1,NULO,45,PAYLOAD,41,1,A,8,1,4cfd64574be51110,9cbcacc40de0f619
167,1,REAL,43,PAYLOAD,39,4,S,7,1,1145d10ea689307a,d2c861a98ef8a254
168,1,REAL,23,PAYLOAD,19,4,S,3,1,1145d10ea689307a,d2c861a98ef8a254
169,0,PHAN_STRICT_POSTHOC,11,PAYLOAD,7,2,N,1,0,f7f31345a1f8cd81,e21a13b453180fa1
170,1,REAL,2,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,e21a13b453180fa1
171,1,NULO,3,HEADER,-1,-1,,-1,1,4cfd64574be51110,fad32430e3bae1d3
172,1,PHAN_STRICT_POSTHOC,9,PAYLOAD,5,0,J,1,1,f7f31345a1f8cd81,e21a13b453180fa1
173,0,PHAN_STRICT_POSTHOC,45,PAYLOAD,41,1,A,8,1,f7f31345a1f8cd81,e21a13b453180fa1
174,0,NULO,14,PAYLOAD,10,0,J,2,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
175,0,REAL,35,PAYLOAD,31,1,A,6,0,f7f31345a1f8cd81,e21a13b453180fa1
176,0,NULO,18,PAYLOAD,14,4,S,2,1,4cfd64574be51110,fad32430e3bae1d3
177,0,REAL,36,PAYLOAD,32,2,N,6,1,1145d10ea689307a,d2c861a98ef8a254
178,0,PHAN_STRICT_POSTHOC,19,PAYLOAD,15,0,J,3,0,f7f31345a1f8cd81,e21a13b453180fa1
179,1,REAL,17,PAYLOAD,13,3,U,2,1,1145d10ea689307a,d2c861a98ef8a254
180,1,PHAN_STRICT_POSTHOC,31,PAYLOAD,27,2,N,5,1,f7f31345a1f8cd81,e21a13b453180fa1
181,0,PHAN_STRICT_POSTHOC,29,PAYLOAD,25,0,J,5,0,f7f31345a1f8cd81,e21a13b453180fa1
182,1,REAL,20,PAYLOAD,16,1,A,3,0,f7f31345a1f8cd81,e21a13b453180fa1
183,1,REAL,40,PAYLOAD,36,1,A,7,1,1145d10ea689307a,d2c861a98ef8a254
184,1,REAL,44,PAYLOAD,40,0,J,8,0,f7f31345a1f8cd81,e21a13b453180fa1
185,1,PHAN_STRICT_POSTHOC,14,PAYLOAD,10,0,J,2,0,f7f31345a1f8cd81,e21a13b453180fa1
186,0,PHAN_STRICT_POSTHOC,47,PAYLOAD,43,3,U,8,1,f7f31345a1f8cd81,e21a13b453180fa1
187,0,NULO,5,PAYLOAD,1,1,A,0,1,4cfd64574be51110,9cbcacc40de0f619
