dataset,mode,sequence_index,bit_true,bit_pred,d0,d1,margin_d0_minus_d1
PHAN_STRICT_POSTHOC,POST_Q1_1,26,1,0,3.8963735517394475,5.07917758396157,-1.1828040322221227
PHAN_STRICT_POSTHOC,POST_Q1_1,27,0,1,5.979119026327271,5.901588718756248,0.0775303075710232
PHAN_STRICT_POSTHOC,POST_Q1_1,28,0,0,3.755631462016409,3.758395041765882,-0.002763579749473166
PHAN_STRICT_POSTHOC,POST_Q1_1,29,0,1,7.221261412643901,4.130442951588265,3.090818461055637
PHAN_STRICT_POSTHOC,POST_Q1_1,30,0,1,6.776266460416623,3.8271440556195513,2.9491224047970714
PHAN_STRICT_POSTHOC,POST_Q1_1,31,1,1,6.070726770346287,4.992524591793207,1.07820217855308
PHAN_STRICT_POSTHOC,POST_Q1_1,32,1,1,4.83976668623276,1.9184667313099355,2.9212999549228247
PHAN_STRICT_POSTHOC,POST_Q1_1,33,0,1,4.585223919375826,2.26087113095962,2.3243527884162063
PHAN_STRICT_POSTHOC,POST_Q1_1,34,1,1,5.834333205872723,2.847247862522128,2.9870853433505955
PHAN_STRICT_POSTHOC,POST_Q1_1,35,0,0,4.759196005675197,5.775364360701056,-1.016168355025859
PHAN_STRICT_POSTHOC,POST_Q1_1,36,1,0,3.508939628280306,4.922662402350083,-1.413722774069777
PHAN_STRICT_POSTHOC,POST_Q1_1,37,0,1,3.2227800667376605,1.429916643639839,1.7928634230978215
PHAN_STRICT_POSTHOC,POST_Q1_1,38,1,1,7.665499796637673,6.924402294842632,0.741097501795041
PHAN_STRICT_POSTHOC,POST_Q1_1,39,0,1,6.4198645572520565,6.043091648951638,0.37677290830041876
PHAN_STRICT_POSTHOC,POST_Q1_1,40,1,1,3.364110700722995,3.332991162515531,0.031119538207463826
PHAN_STRICT_POSTHOC,POST_Q1_1,41,0,0,2.5147206720093553,3.9898015701199108,-1.4750808981105554
PHAN_STRICT_POSTHOC,POST_Q1_1,42,1,0,6.445525804999944,7.358560717902263,-0.9130349129023188
PHAN_STRICT_POSTHOC,POST_Q1_1,43,1,0,1.8827477330034883,4.258362223925074,-2.3756144909215857
PHAN_STRICT_POSTHOC,POST_Q1_1,44,0,1,6.997298138469781,5.867357481535006,1.1299406569347754
PHAN_STRICT_POSTHOC,POST_Q1_1,45,1,1,4.423767245803484,2.9406844442943516,1.4830828015091324
PHAN_STRICT_POSTHOC,POST_Q1_1,46,0,1,4.5450073675579645,1.8807126576679323,2.664294709890032
PHAN_STRICT_POSTHOC,POST_Q1_1,47,1,1,5.355221989419296,3.6037074019619615,1.7515145874573346
PHAN_STRICT_POSTHOC,POST_Q1_1,48,1,1,6.988939592020635,4.705812862893635,2.2831267291270008
REAL,RAW,4,0,0,3.8613762480679106,6.743343527943567,-2.881967279875657
REAL,RAW,5,1,0,4.703008065315644,5.5196059144074265,-0.8165978490917825
REAL,RAW,6,0,0,2.1414485953611986,4.940002363974168,-2.7985537686129693
REAL,RAW,7,0,0,7.478327701884542,10.062773531490583,-2.5844458296060413
