dataset,mode,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,n,cons_mean,cons_var,cons_std,cons_skew,cons_kurt,cons_flicker,e1_mean,e2_mean,e3_mean,e1_var,e2_var,e3_var,e1_flicker,e2_flicker,e3_flicker
NULO,POST_Q1_1,19,PAYLOAD,15,0,J,3,0,496.0,0.056451612903225805,0.06132934443288241,0.24764762149651753,4.614072630985052,22.495559736361802,0.1111111111111111,0.024193548387096774,0.028225806451612902,0.004032258064516129,0.023608220603537983,0.02742911030176899,0.004015998959417273,0.048484848484848485,0.05454545454545454,0.00808080808080808
NULO,POST_Q1_1,20,PAYLOAD,16,1,A,3,0,511.0,0.03131115459882583,0.0342446605213675,0.18505312891536718,6.281348979104287,42.638908308475244,0.060784313725490195,0.007827788649706457,0.015655577299412915,0.007827788649706457,0.007766514374561983,0.015410480198835015,0.007766514374561984,0.01568627450980392,0.029411764705882353,0.01568627450980392
NULO,POST_Q1_1,21,PAYLOAD,17,2,N,3,1,558.0,0.035842293906810034,0.03455762387430787,0.18589680974752598,4.993713520136053,22.93717472118961,0.06822262118491922,0.016129032258064516,0.007168458781362007,0.012544802867383513,0.015868886576482832,0.007117071980061924,0.012387430788401998,0.03231597845601436,0.010771992818671455,0.025134649910233394
NULO,POST_Q1_1,22,PAYLOAD,18,3,U,3,1,582.0,0.08762886597938144,0.08682290006022603,0.29465725862470454,3.312745467486036,10.527539233082486,0.16523235800344235,0.02577319587628866,0.030927835051546393,0.030927835051546393,0.025108938250611116,0.029971304070570734,0.029971304070570734,0.04819277108433735,0.06196213425129088,0.058519793459552494
NULO,POST_Q1_1,23,PAYLOAD,19,4,S,3,1,574.0,0.06445993031358885,0.06727348881253868,0.25937133382958627,4.131437354570991,17.540072868778555,0.1256544502617801,0.017421602787456445,0.02613240418118467,0.020905923344947737,0.01711809054377253,0.025449501632895877,0.020468865714042904,0.034904013961605584,0.05235602094240838,0.041884816753926704
NULO,POST_Q1_1,24,PAYLOAD,20,0,J,4,1,584.0,0.05650684931506849,0.05673848282979921,0.23819841063659347,4.21620319727583,17.657803735987066,0.11320754716981132,0.00684931506849315,0.03767123287671233,0.011986301369863013,0.006802401951585663,0.036252111090260844,0.011842629949333834,0.0137221269296741,0.07547169811320754,0.024013722126929673
NULO,POST_Q1_1,25,PAYLOAD,21,1,A,4,0,509.0,0.060903732809430254,0.05719446813930777,0.23915364964663988,3.6720850201479593,11.484208395195035,0.11811023622047244,0.021611001964636542,0.023575638506876228,0.015717092337917484,0.02114396655872102,0.023019827775869316,0.015470065346358863,0.04330708661417323,0.047244094488188976,0.031496062992125984
NULO,POST_Q1_1,26,PAYLOAD,22,2,N,4,1,601.0,0.07321131447587355,0.07783477897348015,0.27898885098419285,3.945369232706301,16.06058115382816,0.13666666666666666,0.029950083194675542,0.018302828618968387,0.024958402662229616,0.02905307571130755,0.017967835083513056,0.024335480798779636,0.056666666666666664,0.03666666666666667,0.05
NULO,POST_Q1_1,27,PAYLOAD,23,3,U,4,0,496.0,0.07459677419354839,0.08516112773152967,0.29182379569104655,4.165071072447453,18.198374044187872,0.1414141414141414,0.020161290322580645,0.03225806451612903,0.02217741935483871,0.019754812695109262,0.0312174817898023,0.02168558142559833,0.04040404040404041,0.05656565656565657,0.044444444444444446
NULO,POST_Q1_1,28,PAYLOAD,24,4,S,4,0,490.0,0.0673469387755102,0.07097459391920032,0.26641057396282214,4.0823963205292175,17.197609815691454,0.12678936605316973,0.03469387755102041,0.018367346938775512,0.014285714285714285,0.03349021241149521,0.018029987505206166,0.014081632653061225,0.065439672801636,0.03680981595092025,0.028629856850715747
NULO,POST_Q1_1,29,PAYLOAD,25,0,J,5,0,522.0,0.05555555555555555,0.05246913580246913,0.2290614236454256,3.8805700005813266,13.058823529411768,0.1036468330134357,0.03065134099616858,0.011494252873563218,0.013409961685823755,0.02971183629130517,0.0113621350244418,0.013230134613408495,0.05758157389635317,0.023032629558541268,0.026871401151631478
NULO,POST_Q1_1,30,PAYLOAD,26,1,A,5,0,487.0,0.06981519507186858,0.06494103360894551,0.25483530683354205,3.3761789939816103,9.398584599402676,0.12345679012345678,0.026694045174537988,0.01642710472279261,0.026694045174537988,0.025981473126757717,0.01615725495321901,0.025981473126757717,0.04938271604938271,0.02880658436213992,0.04938271604938271
NULO,POST_Q1_1,31,PAYLOAD,27,2,N,5,1,561.0,0.0570409982174688,0.05735238512841535,0.23948358008100545,4.203601877394875,17.579744200857867,0.10357142857142858,0.03208556149732621,0.012477718360071301,0.012477718360071301,0.0310560782407275,0.012322024904598043,0.012322024904598043,0.06428571428571428,0.025,0.025
NULO,POST_Q1_1,32,PAYLOAD,28,3,U,5,1,600.0,0.07166666666666667,0.06986388888888889,0.264317780122505,3.58913032748245,12.124269620628208,0.13689482470784642,0.023333333333333334,0.02666666666666667,0.021666666666666667,0.022788888888888893,0.025955555555555558,0.021197222222222218,0.04674457429048414,0.05342237061769616,0.04006677796327212
NULO,POST_Q1_1,33,PAYLOAD,29,4,S,5,0,508.0,0.07874015748031496,0.07254014508029015,0.26933277758247354,3.1281736021950706,7.785470085470079,0.13806706114398423,0.01968503937007874,0.02952755905511811,0.02952755905511811,0.019297538595077202,0.02865568231136462,0.028655682311364613,0.03944773175542406,0.05917159763313609,0.05917159763313609
