dataset,mode,cycle,decoder,sequence_index,bit_true,bit_pred_hard,cost0,cost1,margin,payload_index,char_index,bit_in_char
NULO,RAW,aggregate,soft_vector_codebook,36,1,0,11.596002176794054,13.757851511087612,2.1618493342935583,20.0,0.0,4.0
NULO,RAW,aggregate,soft_vector_codebook,37,0,0,6.826592565241316,9.279620192910466,2.45302762766915,21.0,1.0,4.0
NULO,RAW,aggregate,soft_vector_codebook,38,1,0,29.23408309504368,33.84033285671277,4.6062497616690905,22.0,2.0,4.0
NULO,RAW,aggregate,soft_vector_codebook,39,0,1,11.377709212416988,10.160769633894342,1.2169395785226467,23.0,3.0,4.0
NULO,RAW,aggregate,soft_vector_codebook,40,0,0,63.24412204087198,71.74978764686173,8.505665605989755,24.0,4.0,4.0
NULO,RAW,aggregate,soft_vector_codebook,41,0,1,5.168769849476697,3.3465376245411296,1.8222322249355676,25.0,0.0,5.0
NULO,RAW,aggregate,soft_vector_codebook,42,0,0,58.60712403303933,65.18477404513341,6.577650012094082,26.0,1.0,5.0
NULO,RAW,aggregate,soft_vector_codebook,43,1,0,10.41046322699145,14.077847211212172,3.667383984220722,27.0,2.0,5.0
NULO,RAW,aggregate,soft_vector_codebook,44,1,0,22.83337503519112,25.044890805257282,2.2115157700661605,28.0,3.0,5.0
NULO,RAW,aggregate,soft_vector_codebook,45,0,0,23.506141006322235,26.955935218734414,3.449794212412179,29.0,4.0,5.0
NULO,RAW,aggregate,soft_vector_codebook,46,1,0,20.12920400212738,22.72525178324114,2.5960477811137608,30.0,0.0,6.0
NULO,RAW,aggregate,soft_vector_codebook,47,0,1,29.157787113332063,25.072158903738657,4.085628209593406,31.0,1.0,6.0
NULO,RAW,aggregate,soft_vector_codebook,48,1,0,46.467054529945045,52.218461100083914,5.751406570138869,32.0,2.0,6.0
NULO,RAW,aggregate,soft_vector_codebook,49,0,0,46.27248214076431,50.90603953578292,4.633557395018606,33.0,3.0,6.0
NULO,RAW,aggregate,soft_vector_codebook,50,1,0,15.736127922049123,18.23274152453485,2.4966136024857253,34.0,4.0,6.0
NULO,RAW,aggregate,soft_vector_codebook,51,0,0,61.08909230594343,62.1684593100105,1.0793670040670662,35.0,0.0,7.0
NULO,RAW,aggregate,soft_vector_codebook,52,1,0,20.360212383038228,25.117907664344465,4.757695281306237,36.0,1.0,7.0
NULO,RAW,aggregate,soft_vector_codebook,53,0,0,19.089812290728776,19.84853696888727,0.7587246781584938,37.0,2.0,7.0
NULO,RAW,aggregate,soft_vector_codebook,54,1,0,28.7898344435379,28.873541914994593,0.08370747145669455,38.0,3.0,7.0
NULO,RAW,aggregate,soft_vector_codebook,55,1,0,8.090494491431839,8.212247166260424,0.12175267482858487,39.0,4.0,7.0
NULO,RAW,aggregate,soft_vector_codebook,56,0,0,17.498575079043132,20.248634788337647,2.750059709294515,40.0,0.0,8.0
NULO,RAW,aggregate,soft_vector_codebook,57,1,0,14.922389326299765,19.357555793130516,4.435166466830751,41.0,1.0,8.0
NULO,RAW,aggregate,soft_vector_codebook,58,0,0,22.658757977302415,22.89207383466748,0.2333158573650671,42.0,2.0,8.0
NULO,RAW,aggregate,soft_vector_codebook,59,1,0,8.539477772509187,11.42509271613774,2.8856149436285534,43.0,3.0,8.0
NULO,RAW,aggregate,soft_vector_codebook,60,1,0,2.5007887921424428,4.172827668783156,1.672038876640713,44.0,4.0,8.0
