dataset,mode,sequence_index,sequence_kind,payload_index,char_index,bit_in_char,bit_sent,cycle,e1_mean,e2_mean,e3_mean,cons_mean,e1_minus_e2,e1_minus_e3,e2_minus_e3,e1_ratio_e2,e2_ratio_e1,e1_share,e2_share,e3_share,e1_var,e2_var,e3_var,cons_var,e1_flicker,e2_flicker,e3_flicker,cons_flicker,cycle_scope
NULO,RAW,44,PAYLOAD,28,3,5,1,0,0.03125,0.033203125,0.017578125,0.08203125,-0.001953125,0.013671875,0.015625,0.9411481254211638,1.0624660010879652,0.380947737018063,0.40475697058169197,0.21428310207266044,0.0302734375,0.032100677490234375,0.017269134521484375,0.0870208740234375,0.05870841487279843,0.06262230919765166,0.03522504892367906,0.1487279843444227,cycle
NULO,RAW,45,PAYLOAD,29,4,5,0,0,0.033203125,0.044921875,0.025390625,0.103515625,-0.01171875,0.0078125,0.01953125,0.7391139814626735,1.3529004302929228,0.32075161839946,0.4339580719522106,0.24528064936429292,0.032100677490234375,0.042903900146484375,0.024745941162109375,0.10451889038085938,0.06653620352250489,0.09001956947162426,0.050880626223091974,0.1917808219178082,cycle
NULO,RAW,46,PAYLOAD,30,0,6,1,0,0.029296875,0.02734375,0.02734375,0.083984375,0.001953125,0.001953125,0.0,1.0713893891880526,0.9333014766429305,0.3488330557552431,0.32557751870489354,0.32557751870489354,0.028438568115234375,0.0265960693359375,0.0265960693359375,0.09646224975585938,0.05870841487279843,0.0547945205479452,0.046966731898238745,0.15655577299412915,cycle
NULO,RAW,47,PAYLOAD,31,1,6,0,0,0.03125,0.0546875,0.01953125,0.10546875,-0.0234375,0.01171875,0.03515625,0.5714181226400431,1.7499440017919425,0.2962934869950863,0.518513602241401,0.18518342937192891,0.0302734375,0.05169677734375,0.0191497802734375,0.1021575927734375,0.0547945205479452,0.09784735812133072,0.03913894324853229,0.18395303326810175,cycle
NULO,RAW,48,PAYLOAD,32,2,6,1,0,0.046875,0.03125,0.0234375,0.1015625,0.015625,0.0234375,0.0078125,1.4999520015359509,0.6666524447478454,0.46153391720450754,0.30768927813633834,0.23076695860225377,0.044677734375,0.0302734375,0.02288818359375,0.10296630859375,0.09001956947162426,0.06262230919765166,0.046966731898238745,0.18003913894324852,cycle
NULO,RAW,49,PAYLOAD,33,3,6,0,0,0.033203125,0.03515625,0.017578125,0.0859375,-0.001953125,0.015625,0.017578125,0.944417581011029,1.0587916410988092,0.3863591405481827,0.40908614881572286,0.20454307440786143,0.032100677490234375,0.0339202880859375,0.017269134521484375,0.07855224609375,0.06653620352250489,0.07045009784735812,0.03522504892367906,0.1643835616438356,cycle
NULO,RAW,50,PAYLOAD,34,4,6,1,0,0.03515625,0.03515625,0.01953125,0.08984375,0.0,0.015625,0.015625,0.999971556364619,0.999971556364619,0.3912999924870401,0.3912999924870401,0.2173888847150223,0.0339202880859375,0.0339202880859375,0.0191497802734375,0.0934906005859375,0.07045009784735812,0.060665362035225046,0.03913894324853229,0.15459882583170254,cycle
NULO,RAW,51,PAYLOAD,35,0,7,0,0,0.052734375,0.033203125,0.03515625,0.12109375,0.01953125,0.017578125,-0.001953125,1.588187461648214,0.6296176902126893,0.4354802747435376,0.27419128409778293,0.2903201831623584,0.049953460693359375,0.032100677490234375,0.0339202880859375,0.1298675537109375,0.10567514677103718,0.06262230919765166,0.07045009784735812,0.23483365949119372,cycle
NULO,RAW,52,PAYLOAD,36,1,7,1,0,0.02734375,0.03515625,0.033203125,0.095703125,-0.0078125,-0.005859375,0.001953125,0.7777556549502592,1.285667267025663,0.2857113003227395,0.3673431004149508,0.34693515039189793,0.0265960693359375,0.0339202880859375,0.032100677490234375,0.09045028686523438,0.050880626223091974,0.07045009784735812,0.06653620352250489,0.18003913894324852,cycle
NULO,RAW,53,PAYLOAD,37,2,7,0,0,0.04296875,0.04296875,0.033203125,0.119140625,0.0,0.009765625,0.009765625,0.9999767278143344,0.9999767278143344,0.3606527105870849,0.3606527105870849,0.27868618545365653,0.0411224365234375,0.0411224365234375,0.032100677490234375,0.10885238647460938,0.0821917808219178,0.07827788649706457,0.06262230919765166,0.21135029354207435,cycle
NULO,RAW,54,PAYLOAD,38,3,7,1,0,0.02734375,0.0234375,0.015625,0.06640625,0.00390625,0.01171875,0.0078125,1.16661689101265,0.8571115113504421,0.41175850528368513,0.35293586167173013,0.2352905744478201,0.0265960693359375,0.02288818359375,0.015380859375,0.0698089599609375,0.0547945205479452,0.046966731898238745,0.0273972602739726,0.12524461839530332,cycle
NULO,RAW,55,PAYLOAD,39,4,7,1,0,0.02734375,0.0390625,0.041015625,0.107421875,-0.01171875,-0.013671875,-0.001953125,0.6999820804587402,1.42851918558407,0.2545430849807362,0.3636329785439088,0.3818146274711043,0.0265960693359375,0.03753662109375,0.039333343505859375,0.09978866577148438,0.0547945205479452,0.07436399217221135,0.07436399217221135,0.19569471624266144,cycle
NULO,RAW,56,PAYLOAD,40,0,8,0,0,0.041015625,0.02734375,0.029296875,0.09765625,0.013671875,0.01171875,-0.001953125,1.4999451448632735,0.6666504130946902,0.41999569924403973,0.27999713282935984,0.29999692803145694,0.039333343505859375,0.0265960693359375,0.028438568115234375,0.0959320068359375,0.07827788649706457,0.0547945205479452,0.0547945205479452,0.18003913894324852,cycle
NULO,RAW,57,PAYLOAD,41,1,8,1,0,0.0390625,0.029296875,0.025390625,0.09375,0.009765625,0.013671875,0.00390625,1.3332878237756152,0.7499808004915074,0.4166622222696291,0.3124966667022218,0.27083044447525895,0.03753662109375,0.028438568115234375,0.024745941162109375,0.0888671875,0.07436399217221135,0.05870841487279843,0.046966731898238745,0.1643835616438356,cycle
NULO,RAW,58,PAYLOAD,42,2,8,0,0,0.052734375,0.037109375,0.01953125,0.109375,0.015625,0.033203125,0.017578125,1.4210143389820231,0.7036903596494762,0.48213844901989467,0.33928261227325923,0.17856979593329433,0.049953460693359375,0.035732269287109375,0.0191497802734375,0.113037109375,0.10176125244618395,0.07436399217221135,0.03913894324853229,0.19960861056751467,cycle
NULO,RAW,59,PAYLOAD,43,3,8,1,0,0.0390625,0.037109375,0.029296875,0.10546875,0.001953125,0.009765625,0.0078125,1.052603214060758,0.9499756806225761,0.37036685874385783,0.35184851580666493,0.2777751440578934,0.03753662109375,0.035732269287109375,0.028438568115234375,0.0982513427734375,0.07045009784735812,0.07045009784735812,0.0547945205479452,0.18003913894324852,cycle
NULO,RAW,60,PAYLOAD,44,4,8,1,0,0.021484375,0.025390625,0.0234375,0.0703125,-0.00390625,-0.001953125,0.001953125,0.8461205220225172,1.1817631761139844,0.30555120993834756,0.36110597538168343,0.3333285926600155,0.021022796630859375,0.024745941162109375,0.02288818359375,0.06927490234375,0.043052837573385516,0.050880626223091974,0.046966731898238745,0.12915851272015655,cycle
NULO,RAW,0,HEADER,-1,-1,-1,0,1,0.033203125,0.041015625,0.025390625,0.099609375,-0.0078125,0.0078125,0.015625,0.8095040730435524,1.2352569146152774,0.3333299869616995,0.41176057212915823,0.2548994017942408,0.032100677490234375,0.039333343505859375,0.024745941162109375,0.10140609741210938,0.06262230919765166,0.0821917808219178,0.04500978473581213,0.17416829745596868,cycle
NULO,RAW,1,HEADER,-1,-1,-1,1,1,0.05078125,0.037109375,0.03125,0.119140625,0.013671875,0.01953125,0.005859375,1.3683841782789854,0.7307548405200636,0.42622593069382764,0.3114727955070279,0.26229288042697085,0.0482025146484375,0.035732269287109375,0.0302734375,0.12838363647460938,0.09393346379647749,0.07045009784735812,0.0547945205479452,0.2035225048923679,cycle
NULO,RAW,2,HEADER,-1,-1,-1,0,1,0.029296875,0.0234375,0.017578125,0.0703125,0.005859375,0.01171875,0.005859375,1.249946668942125,0.7999726942653691,0.41666074082501936,0.3333285926600155,0.24999644449501163,0.028438568115234375,0.02288818359375,0.017269134521484375,0.06927490234375,0.0547945205479452,0.046966731898238745,0.03131115459882583,0.12524461839530332,cycle
NULO,RAW,3,HEADER,-1,-1,-1,1,1,0.03125,0.037109375,0.013671875,0.08203125,-0.005859375,0.017578125,0.0234375,0.8420825712486063,1.1874620012159611,0.380947737018063,0.45237543770894983,0.16666463494540257,0.0302734375,0.035732269287109375,0.013484954833984375,0.0831146240234375,0.05870841487279843,0.07436399217221135,0.0273972602739726,0.15655577299412915,cycle
NULO,RAW,4,HEADER,-1,-1,-1,0,1,0.037109375,0.02734375,0.01953125,0.083984375,0.009765625,0.017578125,0.0078125,1.3570932263048665,0.7368222498425305,0.44185520395664124,0.32557751870489354,0.2325553705034954,0.035732269287109375,0.0265960693359375,0.0191497802734375,0.08474349975585938,0.07436399217221135,0.050880626223091974,0.03522504892367906,0.15655577299412915,cycle
NULO,RAW,5,HEADER,-1,-1,-1,1,1,0.03515625,0.03515625,0.02734375,0.09765625,0.0,0.0078125,0.0078125,0.999971556364619,0.999971556364619,0.35999631363774837,0.35999631363774837,0.27999713282935984,0.0339202880859375,0.0339202880859375,0.0265960693359375,0.0920257568359375,0.06653620352250489,0.07045009784735812,0.0547945205479452,0.1761252446183953,cycle
NULO,RAW,6,HEADER,-1,-1,-1,0,1,0.046875,0.05078125,0.0234375,0.12109375,-0.00390625,0.0234375,0.02734375,0.9230587459200803,1.0833102227152487,0.3870935775498112,0.41935137567896213,0.1935467887749056,0.044677734375,0.0482025146484375,0.02288818359375,0.1103363037109375,0.08610567514677103,0.09393346379647749,0.046966731898238745,0.21135029354207435,cycle
NULO,RAW,7,HEADER,-1,-1,-1,1,1,0.029296875,0.044921875,0.033203125,0.107421875,-0.015625,-0.00390625,0.01171875,0.6521593954082413,1.5332809973419574,0.2727247339079316,0.41817792532549514,0.3090880317623225,0.028438568115234375,0.042903900146484375,0.032100677490234375,0.10760116577148438,0.05870841487279843,0.09001956947162426,0.06653620352250489,0.21135029354207435,cycle
NULO,RAW,8,HEADER,-1,-1,-1,0,1,0.03515625,0.052734375,0.03515625,0.123046875,-0.017578125,0.0,0.017578125,0.6666540249310827,1.4999573345469284,0.28571196373769153,0.42856794560653727,0.28571196373769153,0.0339202880859375,0.049953460693359375,0.0339202880859375,0.11571884155273438,0.07045009784735812,0.09980430528375733,0.06653620352250489,0.2172211350293542,cycle
NULO,RAW,9,HEADER,-1,-1,-1,1,1,0.03515625,0.033203125,0.01953125,0.087890625,0.001953125,0.015625,0.013671875,1.0587916410988092,0.944417581011029,0.39999544894066985,0.37777347955507706,0.22221969385592769,0.0339202880859375,0.032100677490234375,0.0191497802734375,0.08797836303710938,0.06262230919765166,0.06262230919765166,0.03913894324853229,0.15655577299412915,cycle
NULO,RAW,10,HEADER,-1,-1,-1,0,1,0.03125,0.03515625,0.03515625,0.1015625,-0.00390625,-0.00390625,0.0,0.888863605657439,1.124964001151963,0.30768927813633834,0.3461504379033806,0.3461504379033806,0.0302734375,0.0339202880859375,0.0339202880859375,0.10687255859375,0.05870841487279843,0.07045009784735812,0.07045009784735812,0.1917808219178082,cycle
