dataset,mode,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,n,cons_mean,cons_var,cons_std,cons_skew,cons_kurt,cons_flicker,e1_mean,e2_mean,e3_mean,e1_var,e2_var,e3_var,e1_flicker,e2_flicker,e3_flicker
REAL,RAW,20,PAYLOAD,16,1,A,3,0,512.0,0.14453125,0.1509857177734375,0.3885688070000441,2.694415450388014,6.878147685615588,0.2563600782778865,0.04296875,0.044921875,0.056640625,0.0411224365234375,0.042903900146484375,0.053432464599609375,0.08023483365949119,0.0821917808219178,0.11350293542074363
REAL,RAW,21,PAYLOAD,17,2,N,3,1,512.0,0.0703125,0.06927490234375,0.26320125824879714,3.678499028192428,12.985205224242655,0.13307240704500978,0.025390625,0.02734375,0.017578125,0.024745941162109375,0.0265960693359375,0.017269134521484375,0.050880626223091974,0.050880626223091974,0.03522504892367906
REAL,RAW,22,PAYLOAD,18,3,U,3,1,512.0,0.083984375,0.08474349975585938,0.29110736808926596,3.4649368848954216,11.804850862823455,0.15264187866927592,0.029296875,0.021484375,0.033203125,0.028438568115234375,0.021022796630859375,0.032100677490234375,0.05870841487279843,0.03913894324853229,0.06262230919765166
REAL,RAW,23,PAYLOAD,19,4,S,3,1,512.0,0.103515625,0.09280014038085938,0.3046311546458428,2.603045479448375,4.77584576807662,0.18395303326810175,0.03125,0.02734375,0.044921875,0.0302734375,0.0265960693359375,0.042903900146484375,0.06262230919765166,0.0547945205479452,0.0821917808219178
REAL,RAW,24,PAYLOAD,20,0,J,4,1,512.0,0.080078125,0.07757186889648438,0.27851726857860065,3.362536027767077,10.481935584854842,0.14090019569471623,0.017578125,0.025390625,0.037109375,0.017269134521484375,0.024745941162109375,0.035732269287109375,0.03522504892367906,0.050880626223091974,0.07436399217221135
REAL,RAW,25,PAYLOAD,21,1,A,4,0,512.0,0.140625,0.152099609375,0.3899994991983964,3.0200526495230355,10.420767322204735,0.25048923679060664,0.064453125,0.02734375,0.048828125,0.060298919677734375,0.0265960693359375,0.046443939208984375,0.1095890410958904,0.0547945205479452,0.09393346379647749
REAL,RAW,26,PAYLOAD,22,2,N,4,1,512.0,0.080078125,0.07366561889648438,0.27141410961201773,3.094326051068399,7.574853710320543,0.16046966731898238,0.041015625,0.009765625,0.029296875,0.039333343505859375,0.009670257568359375,0.028438568115234375,0.0821917808219178,0.019569471624266144,0.05870841487279843
REAL,RAW,27,PAYLOAD,23,3,U,4,0,512.0,0.1171875,0.10736083984375,0.3276596402423558,2.5457204057054588,5.11345178099733,0.2035225048923679,0.0390625,0.0234375,0.0546875,0.03753662109375,0.02288818359375,0.05169677734375,0.07436399217221135,0.046966731898238745,0.09393346379647749
REAL,RAW,28,PAYLOAD,24,4,S,4,0,512.0,0.142578125,0.13787460327148438,0.3713146957386475,2.4920665740685157,5.520103432457049,0.23483365949119372,0.064453125,0.0390625,0.0390625,0.060298919677734375,0.03753662109375,0.03753662109375,0.12524461839530332,0.07827788649706457,0.06653620352250489
REAL,RAW,29,PAYLOAD,25,0,J,5,0,512.0,0.12890625,0.1357269287109375,0.36841135801022407,2.8915785130314196,8.1067891372742,0.21135029354207435,0.05078125,0.037109375,0.041015625,0.0482025146484375,0.035732269287109375,0.039333343505859375,0.09001956947162426,0.06262230919765166,0.07827788649706457
REAL,RAW,30,PAYLOAD,26,1,A,5,0,512.0,0.09765625,0.1037445068359375,0.32209394101090677,3.387832192789478,11.56694353081911,0.1643835616438356,0.0390625,0.021484375,0.037109375,0.03753662109375,0.021022796630859375,0.035732269287109375,0.07827788649706457,0.043052837573385516,0.06653620352250489
REAL,RAW,31,PAYLOAD,27,2,N,5,1,512.0,0.1015625,0.11468505859375,0.3386518250264569,3.498718265028094,12.45069606340606,0.18786692759295498,0.03125,0.029296875,0.041015625,0.0302734375,0.028438568115234375,0.039333343505859375,0.05870841487279843,0.0547945205479452,0.07827788649706457
REAL,RAW,32,PAYLOAD,28,3,U,5,1,512.0,0.095703125,0.09435653686523438,0.3071750915442761,3.1456491510796303,9.379777417459517,0.1761252446183953,0.033203125,0.03125,0.03125,0.032100677490234375,0.0302734375,0.0302734375,0.06653620352250489,0.05870841487279843,0.05870841487279843
REAL,RAW,33,PAYLOAD,29,4,S,5,0,512.0,0.138671875,0.12725448608398438,0.3567274675210536,2.3461278896402344,4.36281415568773,0.25048923679060664,0.0546875,0.041015625,0.04296875,0.05169677734375,0.039333343505859375,0.0411224365234375,0.1095890410958904,0.07436399217221135,0.08610567514677103
